,Time
276,2594.141
277,2603.531
278,2612.906
279,2622.266
280,2631.672
281,2641.125
282,2650.547
283,2659.891
284,2669.281
285,2678.672
286,2688.016
287,2697.36
288,2706.735
289,2716.11
290,2725.453
291,2734.828
292,2744.188
293,2753.594
294,2762.969
295,2772.375
296,2781.688
297,2791.047
298,2800.406
299,2809.75
300,2819.156
301,2828.531
302,2837.891
303,2847.297
304,2856.688
305,2866.078
306,2875.578
307,2884.985
308,2894.36
309,2903.828
310,2913.219
311,2922.625
312,2931.985
313,2941.344
314,2950.735
315,2960.219
316,2969.641
317,2979.016
318,2988.469
319,2997.891
320,3007.281
321,3016.656
322,3026.047
323,3035.406
324,3044.766
325,3054.125
326,3063.453
327,3072.844
328,3082.25
329,3091.625
330,3101.094
331,3110.5
332,3119.875
333,3129.235
334,3138.641
335,3148.0
336,3157.375
337,3166.75
338,3176.094
339,3185.61
340,3195.141
341,3204.719
342,3214.25
343,3223.797
344,3233.344
345,3242.938
346,3252.469
347,3262.047
348,3271.578
349,3281.11
350,3290.719
351,3300.25
352,3309.813
353,3319.36
354,3328.906
355,3338.438
356,3347.953
357,3357.531
358,3367.141
359,3376.828
360,3386.563
361,3396.203
362,3405.875
363,3415.578
364,3425.25
365,3434.891
366,0.0
367,9.438
368,19.672
369,29.141
370,38.578
371,48.063
372,57.516
373,66.969
374,76.5
375,85.922
376,95.422
377,104.891
378,114.344
379,123.782
380,133.282
381,142.719
382,152.203
383,161.641
384,171.125
385,180.563
386,190.063
387,199.594
388,209.078
389,218.547
390,227.969
391,237.422
392,246.86
393,256.282
394,265.735
395,275.266
396,284.703
397,294.203
398,303.672
399,313.094
400,322.563
401,332.063
402,341.594
403,351.016
404,360.532
405,369.938
406,379.422
407,388.953
408,398.391
409,407.907
410,417.453
411,426.907
412,436.36
413,445.828
414,455.25
415,464.703
416,474.219
417,483.625
418,493.11
419,502.547
420,512.032
421,521.438
422,530.953
423,540.391
424,549.907
425,559.313
426,568.75
427,578.235
428,587.672
429,597.125
430,606.61
431,616.032
432,625.485
433,634.969
434,644.391
435,653.891
436,663.407
437,672.86
438,682.344
439,691.782
440,701.266
441,710.735
442,720.219
443,729.719
444,739.266
445,748.719
446,758.188
447,767.735
448,777.172
449,786.672
450,796.157
451,805.563
452,815.016
453,824.469
454,833.922
455,843.407
456,852.875
457,862.375
458,871.797
459,881.282
460,890.703
461,900.188
462,909.594
463,919.078
464,928.516
465,938.016
466,947.438
467,956.953
468,966.422
469,975.844
470,985.266
471,994.813
472,1004.328
473,1013.844
474,1023.313
475,1032.828
476,1042.391
477,1051.922
478,1061.469
479,1070.907
480,1080.375
481,1089.828
482,1099.25
483,1108.672
484,1118.125
485,1127.61
486,1137.078
487,1146.532
488,1155.938
489,1165.391
490,1174.782
491,1184.203
492,1193.703
493,1203.094
494,1212.547
495,1222.032
496,1231.485
497,1240.969
498,1250.453
499,1259.953
500,1269.407
501,1278.828
502,1288.313
503,1297.75
504,1307.219
505,1316.657
506,1326.188
507,1335.625
508,1345.078
509,1354.547
510,1364.016
511,1373.547
512,1383.0
513,1392.438
514,1401.922
515,1411.407
516,1420.938
517,1430.453
518,1439.922
519,1449.422
520,1458.828
521,1468.266
522,1477.719
523,1487.266
524,1496.828
525,1506.344
526,1515.766
527,1525.297
528,1534.844
529,1544.266
530,1553.782
531,1563.266
532,1572.703
533,1582.141
534,1591.61
535,1601.047
536,1610.485
537,1619.985
538,1629.438
539,1638.891
540,1648.328
541,1657.813
542,1667.266
543,1676.688
544,1686.141
545,1695.625
546,1705.078
547,1714.485
548,1723.922
549,1733.375
550,1742.844
551,1752.344
552,1761.813
553,1771.219
554,1780.672
555,1790.188
556,1799.735
557,1809.172
558,1818.641
559,1828.11
560,1837.578
561,1847.094
562,1856.516
563,1866.016
564,1875.578
565,1885.032
566,1894.532
567,1904.0
568,1913.422
569,1922.828
570,1932.25
571,1941.688
572,1951.094
573,1960.547
574,1970.063
575,1979.532
576,1988.985
577,1998.453
578,2007.907
579,2017.344
580,2026.782
581,2036.313
582,2045.75
583,2055.235
584,2064.657
585,2074.141
586,2083.594
587,2093.11
588,2102.594
589,2112.047
590,2121.485
591,2130.938
592,2140.453
593,2149.875
594,2159.407
595,2168.86
596,2178.344
597,2187.86
598,2197.375
599,2206.844
600,2216.313
601,2225.766
602,2235.266
603,2244.735
604,2254.172
605,2263.594
606,2273.094
607,2282.563
608,2292.063
609,2301.532
610,2311.078
611,2320.5
612,2329.938
613,2339.422
614,2348.86
615,2358.282
616,2367.719
617,2377.172
618,2386.688
619,2396.141
620,2405.594
621,2415.063
622,2424.453
623,2433.938
624,2443.407
625,2452.907
626,2462.469
627,2471.938
628,2481.422
629,2490.875
630,2500.313
631,2509.782
632,2519.203
633,2528.782
634,2538.313
635,2547.75
636,2557.266
637,2566.766
638,2576.25
639,2585.703
640,2595.11
641,2604.641
642,2614.078
643,2623.485
644,2632.953
645,2642.36
646,2651.875
647,2661.297
648,2670.782
649,2680.282
650,2689.703
651,2699.157
652,2708.61
653,2718.032
654,2727.532
655,2736.969
656,2746.422
657,2755.891
658,2765.375
659,2774.828
660,2784.297
661,2793.75
662,2803.203
663,2812.641
664,2822.141
665,2831.625
666,2841.063
667,2850.563
668,2860.016
669,2869.547
670,2878.969
671,2888.453
672,2897.922
673,2907.375
674,2916.922
675,2926.375
676,2935.828
677,2945.25
678,2954.735
679,2964.203
680,2973.672
681,2983.11
682,2992.532
683,3002.0
684,3011.516
685,3020.969
686,3030.438
687,3039.907
688,3049.391
689,3058.907
690,3068.375
691,3077.844
692,3087.469
693,3097.141
694,3106.719
695,3116.344
696,3125.938
697,3135.547
698,3145.141
699,3154.782
700,3164.407
701,3173.969
702,3183.532
703,3193.141
704,3202.766
705,3212.344
706,3221.938
707,3231.625
708,3241.344
709,3250.922
710,3260.625
711,3270.219
712,3279.86
713,3289.453
714,3299.157
715,3308.75
716,3318.328
717,3327.938
718,3337.469
719,3347.188
720,3356.938
721,3366.703
722,3376.453
723,3386.235
724,3395.985
725,3405.766
726,3415.516
727,3425.485
728,0.0
729,9.344
730,19.641
731,29.141
732,38.625
733,48.172
734,57.875
735,67.438
736,76.969
737,86.438
738,95.938
739,105.453
740,114.969
741,124.531
742,134.016
743,143.531
744,153.078
745,162.594
746,172.11
747,181.641
748,191.172
749,200.656
750,210.172
751,219.688
752,229.188
753,238.703
754,248.203
755,257.781
756,267.281
757,276.766
758,286.297
759,295.813
760,305.297
761,314.781
762,324.297
763,333.828
764,343.375
765,352.875
766,362.375
767,371.891
768,381.391
769,390.891
770,400.406
771,409.922
772,419.422
773,428.969
774,438.547
775,448.031
776,457.563
777,467.016
778,476.563
779,486.078
780,495.641
781,505.156
782,514.672
783,524.188
784,533.735
785,543.266
786,552.75
787,562.281
788,571.797
789,581.266
790,590.766
791,600.281
792,609.813
793,619.25
794,628.828
795,638.313
796,647.86
797,657.36
798,666.875
799,676.375
800,685.969
801,695.547
802,705.078
803,714.61
804,724.172
805,733.735
806,743.266
807,752.797
808,762.36
809,771.875
810,781.375
811,790.938
812,800.453
813,809.985
814,819.516
815,829.063
816,838.656
817,848.188
818,857.703
819,867.25
820,876.75
821,886.25
822,895.766
823,905.281
824,914.828
825,924.328
826,933.828
827,943.36
828,952.844
829,962.422
830,971.938
831,981.438
832,990.953
833,1000.485
834,1010.016
835,1019.578
836,1029.141
837,1038.688
838,1048.203
839,1057.75
840,1067.281
841,1076.828
842,1086.344
843,1095.922
844,1105.406
845,1114.922
846,1124.438
847,1134.031
848,1143.516
849,1153.078
850,1162.625
851,1172.203
852,1181.75
853,1191.266
854,1200.813
855,1210.328
856,1219.844
857,1229.375
858,1238.875
859,1248.453
860,1257.969
861,1267.516
862,1277.078
863,1286.61
864,1296.125
865,1305.672
866,1315.172
867,1324.672
868,1334.25
869,1343.735
870,1353.297
871,1362.813
872,1372.281
873,1381.844
874,1391.36
875,1400.906
876,1410.485
877,1420.0
878,1429.531
879,1439.11
880,1448.625
881,1458.172
882,1467.703
883,1477.203
884,1486.688
885,1496.219
886,1505.781
887,1515.313
888,1524.844
889,1534.453
890,1544.016
891,1553.516
892,1563.094
893,1572.625
894,1582.219
895,1591.735
896,1601.328
897,1610.844
898,1620.406
899,1629.969
900,1639.516
901,1649.016
902,1658.531
903,1668.063
904,1677.563
905,1687.094
906,1696.688
907,1706.235
908,1715.703
909,1725.25
910,1734.844
911,1744.391
912,1753.906
913,1763.485
914,1773.094
915,1782.641
916,1792.156
917,1801.735
918,1811.25
919,1820.797
920,1830.313
921,1839.828
922,1849.344
923,1858.844
924,1868.36
925,1877.906
926,1887.438
927,1896.953
928,1906.563
929,1916.141
930,1925.703
931,1935.219
932,1944.75
933,1954.297
934,1963.828
935,1973.344
936,1982.844
937,1992.344
938,2001.86
939,2011.422
940,2020.906
941,2030.422
942,2039.938
943,2049.406
944,2058.906
945,2068.453
946,2077.985
947,2087.485
948,2097.0
949,2106.516
950,2116.016
951,2125.516
952,2135.047
953,2144.641
954,2154.219
955,2163.766
956,2173.328
957,2182.875
958,2192.36
959,2201.953
960,2211.563
961,2221.078
962,2230.625
963,2240.172
964,2249.641
965,2259.11
966,2268.688
967,2278.203
968,2287.735
969,2297.235
970,2306.828
971,2316.36
972,2325.875
973,2335.469
974,2345.0
975,2354.485
976,2364.031
977,2373.485
978,2383.063
979,2392.641
980,2402.203
981,2411.766
982,2421.281
983,2430.797
984,2440.313
985,2449.828
986,2459.344
987,2468.86
988,2478.391
989,2487.922
990,2497.375
991,2506.875
992,2516.438
993,2525.938
994,2535.422
995,2544.922
996,2554.485
997,2563.953
998,2573.547
999,2583.063
1000,2592.578
1001,2602.11
1002,2611.578
1003,2621.125
1004,2630.625
1005,2640.11
1006,2649.641
1007,2659.219
1008,2668.735
1009,2678.328
1010,2687.86
1011,2697.36
1012,2706.953
1013,2716.453
1014,2726.047
1015,2735.547
1016,2745.063
1017,2754.547
1018,2764.047
1019,2773.61
1020,2783.11
1021,2792.61
1022,2802.141
1023,2811.703
1024,2821.281
1025,2830.781
1026,2840.297
1027,2849.844
1028,2859.438
1029,2868.985
1030,2878.531
1031,2888.031
1032,2897.578
1033,2907.078
1034,2916.61
1035,2926.11
1036,2935.625
1037,2945.172
1038,2954.75
1039,2964.297
1040,2973.844
1041,2983.391
1042,2992.953
1043,3002.5
1044,3012.125
1045,3021.781
1046,3031.547
1047,3041.266
1048,3050.938
1049,3060.563
1050,3070.281
1051,3080.031
1052,3089.766
1053,3099.485
1054,3109.188
1055,3118.844
1056,3128.469
1057,3138.141
1058,3147.735
1059,3157.36
1060,3167.094
1061,3176.828
1062,3186.469
1063,3196.11
1064,3205.86
1065,3215.485
1066,3225.141
1067,3234.86
1068,3244.563
1069,3254.219
1070,3263.906
1071,3273.563
1072,3283.203
1073,3292.938
1074,3302.656
1075,3312.36
1076,3322.016
1077,3331.719
1078,3341.5
1079,3351.313
1080,3361.11
1081,3371.0
1082,3380.797
1083,3390.656
1084,3400.469
1085,3410.375
1086,0.0
1087,9.313
1088,19.735
1089,29.344
1090,38.922
1091,48.485
1092,58.094
1093,67.657
1094,77.266
1095,86.953
1096,96.516
1097,106.094
1098,115.672
1099,125.266
1100,134.828
1101,144.469
1102,154.032
1103,163.578
1104,173.172
1105,182.75
1106,192.391
1107,201.953
1108,211.485
1109,221.063
1110,230.625
1111,240.203
1112,249.813
1113,259.469
1114,269.047
1115,278.641
1116,288.297
1117,297.875
1118,307.453
1119,317.016
1120,326.641
1121,336.203
1122,345.797
1123,355.375
1124,365.016
1125,374.625
1126,384.188
1127,393.782
1128,403.36
1129,413.0
1130,422.625
1131,432.297
1132,441.844
1133,451.375
1134,460.969
1135,470.547
1136,480.11
1137,489.703
1138,499.266
1139,508.891
1140,518.469
1141,528.063
1142,537.594
1143,547.172
1144,556.766
1145,566.328
1146,575.953
1147,585.547
1148,595.078
1149,604.657
1150,614.219
1151,623.719
1152,633.266
1153,642.875
1154,652.516
1155,662.141
1156,671.672
1157,681.282
1158,690.875
1159,700.485
1160,710.078
1161,719.75
1162,729.328
1163,738.907
1164,748.61
1165,758.157
1166,767.719
1167,777.328
1168,786.922
1169,796.5
1170,806.125
1171,815.719
1172,825.313
1173,834.969
1174,844.532
1175,854.11
1176,863.657
1177,873.25
1178,882.875
1179,892.453
1180,902.078
1181,911.688
1182,921.25
1183,930.797
1184,940.375
1185,949.938
1186,959.5
1187,969.047
1188,978.61
1189,988.141
1190,997.703
1191,1007.266
1192,1016.844
1193,1026.453
1194,1036.078
1195,1045.657
1196,1055.266
1197,1064.953
1198,1074.5
1199,1084.047
1200,1093.61
1201,1103.188
1202,1112.766
1203,1122.36
1204,1131.985
1205,1141.594
1206,1151.172
1207,1160.75
1208,1170.375
1209,1179.938
1210,1189.5
1211,1199.078
1212,1208.719
1213,1218.282
1214,1227.891
1215,1237.438
1216,1247.032
1217,1256.61
1218,1266.172
1219,1275.797
1220,1285.391
1221,1294.985
1222,1304.641
1223,1314.219
1224,1323.735
1225,1333.344
1226,1342.891
1227,1352.516
1228,1362.172
1229,1371.75
1230,1381.344
1231,1390.891
1232,1400.532
1233,1410.157
1234,1419.86
1235,1429.469
1236,1439.11
1237,1448.688
1238,1458.266
1239,1467.86
1240,1477.453
1241,1487.094
1242,1496.625
1243,1506.157
1244,1515.735
1245,1525.313
1246,1534.86
1247,1544.407
1248,1553.953
1249,1563.625
1250,1573.219
1251,1582.797
1252,1592.407
1253,1601.969
1254,1611.61
1255,1621.219
1256,1630.797
1257,1640.391
1258,1649.985
1259,1659.547
1260,1669.125
1261,1678.735
1262,1688.344
1263,1697.907
1264,1707.532
1265,1717.203
1266,1726.813
1267,1736.407
1268,1746.078
1269,1755.641
1270,1765.235
1271,1774.813
1272,1784.344
1273,1794.0
1274,1803.61
1275,1813.282
1276,1822.828
1277,1832.391
1278,1841.938
1279,1851.547
1280,1861.188
1281,1870.797
1282,1880.344
1283,1889.938
1284,1899.563
1285,1909.172
1286,1918.782
1287,1928.375
1288,1938.0
1289,1947.61
1290,1957.188
1291,1966.75
1292,1976.344
1293,1985.953
1294,1995.516
1295,2005.094
1296,2014.672
1297,2024.25
1298,2033.813
1299,2043.485
1300,2053.063
1301,2062.594
1302,2072.125
1303,2081.703
1304,2091.297
1305,2100.969
1306,2110.547
1307,2120.157
1308,2129.828
1309,2139.407
1310,2149.016
1311,2158.641
1312,2168.219
1313,2177.735
1314,2187.297
1315,2196.891
1316,2206.563
1317,2216.141
1318,2225.703
1319,2235.282
1320,2244.844
1321,2254.407
1322,2263.953
1323,2273.61
1324,2283.235
1325,2292.922
1326,2302.5
1327,2312.047
1328,2321.594
1329,2331.157
1330,2340.766
1331,2350.422
1332,2360.016
1333,2369.735
1334,2379.36
1335,2389.0
1336,2398.563
1337,2408.11
1338,2417.75
1339,2427.391
1340,2436.969
1341,2446.625
1342,2456.203
1343,2465.844
1344,2475.485
1345,2485.078
1346,2494.657
1347,2504.235
1348,2513.86
1349,2523.422
1350,2533.016
1351,2542.578
1352,2552.157
1353,2561.703
1354,2571.266
1355,2580.938
1356,2590.516
1357,2600.125
1358,2609.641
1359,2619.203
1360,2628.86
1361,2638.485
1362,2648.157
1363,2657.688
1364,2667.297
1365,2676.844
1366,2686.407
1367,2696.016
1368,2705.672
1369,2715.25
1370,2724.813
1371,2734.469
1372,2744.0
1373,2753.61
1374,2763.157
1375,2772.75
1376,2782.297
1377,2791.922
1378,2801.547
1379,2811.094
1380,2820.688
1381,2830.235
1382,2839.828
1383,2849.453
1384,2859.063
1385,2868.657
1386,2878.328
1387,2887.953
1388,2897.594
1389,2907.172
1390,2916.735
1391,2926.297
1392,2935.875
1393,2945.5
1394,2955.297
1395,2965.063
1396,2974.782
1397,2984.532
1398,2994.25
1399,3003.985
1400,3013.672
1401,3023.469
1402,3033.172
1403,3042.875
1404,3052.625
1405,3062.375
1406,3072.141
1407,3081.844
1408,3091.625
1409,3101.328
1410,3111.032
1411,3120.75
1412,3130.5
1413,3140.266
1414,3149.985
1415,3159.703
1416,3169.485
1417,3179.219
1418,3188.938
1419,3198.641
1420,3208.407
1421,3218.157
1422,3227.875
1423,3237.641
1424,3247.344
1425,3257.047
1426,3266.844
1427,3276.641
1428,3286.375
1429,3296.11
1430,3305.891
1431,3315.672
1432,3325.547
1433,3335.438
1434,3345.297
1435,3355.188
1436,3365.047
1437,3374.875
1438,3384.766
1439,3394.719
1440,3404.719
1441,0.0
1442,9.375
1443,19.782
1444,29.485
1445,39.172
1446,48.844
1447,58.5
1448,68.157
1449,77.782
1450,87.469
1451,97.094
1452,106.75
1453,116.391
1454,126.032
1455,135.688
1456,145.344
1457,154.953
1458,164.61
1459,174.219
1460,183.922
1461,193.563
1462,203.219
1463,212.844
1464,222.5
1465,232.172
1466,241.813
1467,251.5
1468,261.203
1469,270.844
1470,280.563
1471,290.203
1472,299.844
1473,309.594
1474,319.266
1475,328.938
1476,338.61
1477,348.297
1478,357.907
1479,367.516
1480,377.157
1481,386.797
1482,396.485
1483,406.11
1484,415.735
1485,425.36
1486,435.063
1487,444.703
1488,454.328
1489,463.922
1490,473.641
1491,483.25
1492,492.891
1493,502.532
1494,512.203
1495,521.86
1496,531.5
1497,541.219
1498,550.922
1499,560.563
1500,570.266
1501,579.938
1502,589.578
1503,599.203
1504,608.844
1505,618.5
1506,628.125
1507,637.797
1508,647.422
1509,657.094
1510,666.735
1511,676.36
1512,685.969
1513,695.688
1514,705.328
1515,714.938
1516,724.563
1517,734.219
1518,743.86
1519,753.532
1520,763.141
1521,772.844
1522,782.516
1523,792.157
1524,801.844
1525,811.469
1526,821.125
1527,830.797
1528,840.438
1529,850.078
1530,859.672
1531,869.375
1532,879.0
1533,888.688
1534,898.328
1535,908.063
1536,917.797
1537,927.469
1538,937.047
1539,946.719
1540,956.375
1541,966.094
1542,975.735
1543,985.344
1544,995.0
1545,1004.657
1546,1014.313
1547,1023.953
1548,1033.578
1549,1043.25
1550,1052.844
1551,1062.453
1552,1072.078
1553,1081.766
1554,1091.391
1555,1101.047
1556,1110.735
1557,1120.407
1558,1130.047
1559,1139.672
1560,1149.344
1561,1159.0
1562,1168.625
1563,1178.266
1564,1187.907
1565,1197.532
1566,1207.11
1567,1216.719
1568,1226.407
1569,1236.047
1570,1245.703
1571,1255.297
1572,1264.953
1573,1274.61
1574,1284.25
1575,1293.891
1576,1303.578
1577,1313.266
1578,1322.891
1579,1332.547
1580,1342.25
1581,1351.907
1582,1361.563
1583,1371.188
1584,1380.86
1585,1390.485
1586,1400.078
1587,1409.703
1588,1419.407
1589,1429.047
1590,1438.75
1591,1448.391
1592,1458.047
1593,1467.719
1594,1477.375
1595,1487.063
1596,1496.766
1597,1506.5
1598,1516.157
1599,1525.797
1600,1535.485
1601,1545.063
1602,1554.719
1603,1564.36
1604,1574.0
1605,1583.61
1606,1593.235
1607,1602.828
1608,1612.5
1609,1622.188
1610,1631.813
1611,1641.5
1612,1651.125
1613,1660.75
1614,1670.36
1615,1679.969
1616,1689.641
1617,1699.235
1618,1708.891
1619,1718.547
1620,1728.172
1621,1737.844
1622,1747.516
1623,1757.203
1624,1766.813
1625,1776.5
1626,1786.125
1627,1795.797
1628,1805.453
1629,1815.047
1630,1824.719
1631,1834.344
1632,1843.985
1633,1853.657
1634,1863.297
1635,1872.985
1636,1882.61
1637,1892.282
1638,1902.0
1639,1911.735
1640,1921.375
1641,1931.016
1642,1940.641
1643,1950.313
1644,1960.016
1645,1969.688
1646,1979.313
1647,1988.938
1648,1998.594
1649,2008.235
1650,2017.907
1651,2027.563
1652,2037.25
1653,2046.907
1654,2056.594
1655,2066.282
1656,2075.953
1657,2085.594
1658,2095.235
1659,2104.907
1660,2114.516
1661,2124.188
1662,2133.797
1663,2143.5
1664,2153.125
1665,2162.766
1666,2172.407
1667,2182.063
1668,2191.703
1669,2201.375
1670,2210.985
1671,2220.688
1672,2230.297
1673,2239.985
1674,2249.688
1675,2259.328
1676,2268.953
1677,2278.594
1678,2288.266
1679,2297.922
1680,2307.563
1681,2317.203
1682,2326.86
1683,2336.5
1684,2346.141
1685,2355.797
1686,2365.438
1687,2375.172
1688,2384.813
1689,2394.453
1690,2404.203
1691,2413.813
1692,2423.469
1693,2433.11
1694,2442.766
1695,2452.438
1696,2462.11
1697,2471.766
1698,2481.36
1699,2491.0
1700,2500.625
1701,2510.266
1702,2519.907
1703,2529.485
1704,2539.188
1705,2548.828
1706,2558.516
1707,2568.25
1708,2577.969
1709,2587.61
1710,2597.25
1711,2606.953
1712,2616.563
1713,2626.203
1714,2635.86
1715,2645.5
1716,2655.157
1717,2664.797
1718,2674.453
1719,2684.141
1720,2693.813
1721,2703.5
1722,2713.141
1723,2722.782
1724,2732.407
1725,2742.032
1726,2751.735
1727,2761.438
1728,2771.047
1729,2780.719
1730,2790.5
1731,2800.235
1732,2809.875
1733,2819.547
1734,2829.25
1735,2838.875
1736,2848.516
1737,2858.157
1738,2867.797
1739,2877.469
1740,2887.141
1741,2896.782
1742,2906.438
1743,2916.157
1744,2925.891
1745,2935.563
1746,2945.203
1747,2954.844
1748,2964.453
1749,2974.235
1750,2984.11
1751,2993.907
1752,3003.75
1753,3013.516
1754,3023.344
1755,3033.141
1756,3042.922
1757,3052.719
1758,3062.453
1759,3072.266
1760,3082.078
1761,3091.875
1762,3101.672
1763,3111.594
1764,3121.375
1765,3131.141
1766,3140.969
1767,3150.75
1768,3160.578
1769,3170.375
1770,3180.219
1771,3190.032
1772,3199.828
1773,3209.688
1774,3219.594
1775,3229.344
1776,3239.172
1777,3248.985
1778,3258.766
1779,3268.625
1780,3278.391
1781,3288.188
1782,3298.063
1783,3307.938
1784,3317.703
1785,3327.782
1786,3337.703
1787,3347.625
1788,3357.61
1789,3367.61
1790,3377.563
1791,3387.532
1792,3397.485
1793,3407.516
1794,3417.641
1795,0.0
1796,9.297
1797,19.812
1798,29.5
1799,39.187
1800,48.984
1801,58.703
1802,68.437
1803,78.203
1804,87.875
1805,97.578
1806,107.266
1807,116.953
1808,126.641
1809,136.422
1810,146.141
1811,155.906
1812,165.672
1813,175.328
1814,185.031
1815,194.75
1816,204.437
1817,214.156
1818,223.844
1819,233.578
1820,243.312
1821,253.062
1822,262.828
1823,272.516
1824,282.297
1825,292.016
1826,301.703
1827,311.469
1828,321.203
1829,330.969
1830,340.656
1831,350.437
1832,360.109
1833,369.891
1834,379.609
1835,389.375
1836,399.125
1837,408.828
1838,418.531
1839,428.25
1840,437.906
1841,447.562
1842,457.281
1843,466.953
1844,476.656
1845,486.359
1846,496.078
1847,505.812
1848,515.562
1849,525.328
1850,535.047
1851,544.797
1852,554.484
1853,564.25
1854,573.953
1855,583.641
1856,593.328
1857,603.031
1858,612.75
1859,622.469
1860,632.203
1861,641.922
1862,651.672
1863,661.422
1864,671.125
1865,680.875
1866,690.562
1867,700.328
1868,710.0
1869,719.703
1870,729.406
1871,739.109
1872,748.797
1873,758.609
1874,768.344
1875,778.094
1876,787.797
1877,797.516
1878,807.266
1879,817.0
1880,826.75
1881,836.484
1882,846.203
1883,855.906
1884,865.672
1885,875.406
1886,885.141
1887,894.859
1888,904.547
1889,914.344
1890,924.078
1891,933.812
1892,943.562
1893,953.25
1894,962.953
1895,972.656
1896,982.328
1897,991.969
1898,1001.672
1899,1011.359
1900,1021.062
1901,1030.766
1902,1040.547
1903,1050.281
1904,1059.984
1905,1069.656
1906,1079.344
1907,1089.031
1908,1098.797
1909,1108.5
1910,1118.219
1911,1127.984
1912,1137.719
1913,1147.453
1914,1157.219
1915,1166.953
1916,1176.672
1917,1186.359
1918,1196.031
1919,1205.719
1920,1215.422
1921,1225.141
1922,1234.891
1923,1244.625
1924,1254.312
1925,1264.125
1926,1273.828
1927,1283.578
1928,1293.281
1929,1302.953
1930,1312.625
1931,1322.344
1932,1332.062
1933,1341.844
1934,1351.531
1935,1361.203
1936,1370.891
1937,1380.625
1938,1390.312
1939,1400.016
1940,1409.766
1941,1419.5
1942,1429.187
1943,1438.922
1944,1448.672
1945,1458.328
1946,1468.031
1947,1477.75
1948,1487.469
1949,1497.203
1950,1506.922
1951,1516.609
