,0
0,0.7308362355555873
1,0.7162646534661066
2,0.7017095874512321
3,0.6871545214363577
4,0.672582939346877
5,0.6580454904782496
6,0.6434728073171282
7,0.6289177413022538
8,0.614346159212773
9,0.5997910931978986
10,0.5852195111084179
11,0.5706303118726901
12,0.5560752458578156
13,0.5415554141354353
14,0.5269662148997075
15,0.5123593985177327
16,0.497787816428252
17,0.4832503675596245
18,0.4686776843985034
19,0.45407196908816905
20,0.43941340233909393
21,0.4248418202496132
22,0.410269137088492
23,0.39571517214525803
24,0.38112597290953026
25,0.3663991397187485
26,0.3516546893817197
27,0.33687610582383753
28,0.32216688977930275
29,0.3073365558543203
30,0.29255797229643815
31,0.27781352195940956
32,0.26305255554777446
33,0.24830920628238606
34,0.23356475594535728
35,0.21882030560832874
36,0.20405933919669333
37,0.1893148888596648
38,0.174588055668883
39,0.1597929560363943
40,0.1450661228456125
41,0.1303392896548307
42,0.11566420683114925
43,0.10095388971497406
44,0.08622705652419226
45,0.07150022333341047
46,0.05672274084716874
47,0.041944157289286604
48,0.02721732409850481
49,0.012507006982329613
50,-0.0022198262084521785
51,-0.01692904225298722
52,-0.031655875443769015
53,-0.04640032578079755
54,-0.06117890933867969
55,-0.07592225860406808
56,-0.09063257572024327
57,-0.10537592498563166
58,-0.12024039213146749
59,-0.13496722532224928
60,-0.14974580888013142
61,-0.16450677529176655
62,-0.1792853588496487
63,-0.19396044167333013
64,-0.2086355244970116
65,-0.22341410805489373
66,-0.23815855839192251
67,-0.2528853915827043
68,-0.2675946076272391
69,-0.2823049247434143
70,-0.2970482740088027
71,-0.3118268575666848
72,-0.32651955753661327
73,-0.34122877358114806
74,-0.3559732239181768
75,-0.37083769106401265
76,-0.38554690710854744
77,-0.40025722422472265
78,-0.4149323070484041
79,-0.4296932734600395
80,-0.44445423987167465
81,-0.4591810730624564
82,-0.4739772737665853
83,-0.48872062303197367
84,-0.5034650733690025
85,-0.5182436569268846
86,-0.5329704901176664
87,-0.5477149404546949
88,-0.5624924229409367
89,-0.5772192561317184
90,-0.5919460893225003
91,-0.6066729225132821
92,-0.6214515060711642
93,-0.636178339261946
94,-0.6509569228198281
95,-0.6657013731568568
96,-0.6804799567147389
97,-0.6952409231263741
98,-0.709950139170909
99,-0.7247980902421384
100,-0.7395249234329201
101,-0.7543035069908022
102,-0.7690127230353371
103,-0.783721939079872
104,-0.7984487722706538
105,-0.8131590893868291
106,-0.8279024386522174
107,-0.842646888989246
108,-0.8574419886217346
109,-0.8721523057379099
110,-0.8869132721495451
111,-0.9016577224865738
112,-0.9163845556773557
113,-0.9310761545756436
114,-0.9458382220589192
115,-0.9606168056168013
116,-0.9753601548821896
117,-0.9901046052192183
118,-1.004899704851707
119,-1.0195924048216352
120,-1.034405121600371
121,-1.0491319547911526
122,-1.063842271907328
123,-1.0786373715398165
124,-1.0933642047305983
125,-1.108228671876434
126,-1.1230072554343162
127,-1.137716471478851
128,-1.1524950550367332
129,-1.1672053721529085
130,-1.1819828546391502
