,0
0,0.6902872412327692
1,0.6765475674497572
2,0.6641057403982592
3,0.6507670330990855
4,0.6386174152282933
5,0.628336782546635
6,0.6126761473702106
7,0.6002451400622326
8,0.5850289855420399
9,0.5753379801486115
10,0.5587900582956268
11,0.5451366351740464
12,0.5296693437300548
13,0.5151696717253913
14,0.5012720730324559
15,0.4892747032833972
16,0.47445664267790605
17,0.46162817641603165
18,0.4430322794819343
19,0.4304934492508167
20,0.4137636199963457
21,0.4031693936507074
22,0.3871639573981721
23,0.37282674745444977
24,0.358498831903511
25,0.34516585829723795
26,0.33050643079591796
27,0.3182835855879136
28,0.3051574752072677
29,0.2914385766797601
30,0.2801470689918283
31,0.2620637577589118
32,0.24547879232922692
33,0.22950108942945924
34,0.2047107587975855
35,0.18692114952636357
36,0.1671027333130246
37,0.1429684748512478
38,0.11859117073193141
39,0.10217038453291082
40,0.0873518822827515
41,0.07643404995704207
42,0.06433574778215596
43,0.05280836076266232
44,0.04057555346653012
45,0.03243971383355475
46,0.025155882553585557
47,0.01864947184394787
48,0.008100669673762231
49,-0.002751731184168618
50,-0.016130144385291464
51,-0.02891904825196885
52,-0.03902620876530946
53,-0.05078786658652886
54,-0.06759720766583763
55,-0.08034697953012973
56,-0.08631980079102952
57,-0.09975680176741697
58,-0.12185571248216442
59,-0.13135000330948293
60,-0.13876595262820315
61,-0.15445157345449684
62,-0.171931953708121
63,-0.17701440866764867
64,-0.19698174483014363
65,-0.21008535706365683
66,-0.22537532230215673
67,-0.23821377810919342
68,-0.25548491982224475
69,-0.26362465989352035
70,-0.28037018747772524
71,-0.29737916611493054
72,-0.3041704013883167
73,-0.32397111832838915
74,-0.34047222394781695
75,-0.35095754591365824
76,-0.3646329304933413
77,-0.3774413912301384
78,-0.3952756510148213
79,-0.41195721282185294
80,-0.42670996169380077
81,-0.4315594138226684
82,-0.45545103181412455
83,-0.4738482714218769
84,-0.4837792403738813
85,-0.5005397791532197
86,-0.5155479359115241
87,-0.532726716654403
88,-0.5467681260566334
89,-0.5566403808592999
90,-0.572279811442885
91,-0.5914535791350523
92,-0.5980853293640571
93,-0.6127019372568471
94,-0.6290641279840623
